Runtime,Director,Writer,Actor,Rating,Target
140,Christopher Nolan,"Bob Kane , David S. Goyer , Christopher Nolan , David S. Goyer ","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",8.3,1
119,Doug Liman,"Tony Gilroy , W. Blake Herron , Robert Ludlum ","Matt Damon, Franka Potente, Chris Cooper, Clive Owen",7.9,1
178,Mel Gibson,Randall Wallace,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",8.4,1
113,"Eric Bress, J. Mackye Gruber","J. Mackye Gruber, Eric Bress","Ashton Kutcher, Melora Walters, Amy Smart, Elden Henson",7.7,1
108,Paul Greengrass,"Robert Ludlum , Tony Gilroy ","Matt Damon, Franka Potente, Brian Cox, Julia Stiles",7.8,1
115,Tim Burton,"Roald Dahl , John August ","Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",6.7,0
124,"Frank Miller, Robert Rodriguez, Quentin Tarantino",Frank Miller ,"Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe",8.1,1
81,John Lasseter,"John Lasseter , Pete Docter , Andrew Stanton , Joe Ranft , Joss Whedon , Andrew Stanton , Joel Cohen , Alec Sokolow ","Tom Hanks, Tim Allen, Don Rickles, Jim Varney",8.3,1
132,Clint Eastwood,"Paul Haggis , F.X. Toole ","Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",8.1,1
132,James McTeigue,"Lilly Wachowski , Lana Wachowski , David Lloyd ","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry",8.2,1
111,Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino , Uma Thurman ","Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah",8.1,1
102,Michael Curtiz,"Julius J. Epstein , Philip G. Epstein , Howard Koch , Murray Burnett , Joan Alison ","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",8.6,1
115,Jay Roach,"Greg Glienna , Mary Ruth Clarke , Jim Herzfeld , Marc Hyman , Jim Herzfeld , John Hamburg ","Robert De Niro, Ben Stiller, Dustin Hoffman, Barbra Streisand",6.3,0
124,Steven Spielberg,"Peter Benchley , Carl Gottlieb , Peter Benchley ","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",8,1
120,Doug Liman,Simon Kinberg,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",6.5,0
92,"John Lasseter, Ash Brannon, Lee Unkrich","John Lasseter , Pete Docter , Ash Brannon , Andrew Stanton , Andrew Stanton , Rita Hsiao , Doug Chamberlin , Chris Webb ","Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer",7.9,1
115,Brad Bird,Brad Bird,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee",8,1
140,George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid",7.6,1
157,Mike Newell,"Steve Kloves , J.K. Rowling ","Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe",7.7,1
116,Steven Spielberg,"Josh Friedman , David Koepp , H.G. Wells ","Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin",6.5,0
